,smiles,mol_id,toxic
92,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,TOX25753,0
93,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,TOX25750,1
94,Nc1ccc([N+](=O)[O-])cc1N,TOX958,1
95,[I-].[K+],TOX14836,0
96,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,TOX4786,0
97,Oc1nc(Cl)c(Cl)cc1Cl,TOX18317,1
98,C/C=C/C=C/C=O,TOX5391,1
99,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,TOX4781,1
100,C[Si](C)(C)N[Si](C)(C)C,TOX5395,1
102,COCC(C)N(C(=O)CCl)c1c(C)csc1C,TOX12376,1
105,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,TOX12372,1
106,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,TOX25533,0
107,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25530,0
108,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25531,0
109,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,TOX25536,0
111,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,TOX25534,1
116,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,TOX14792,1
118,CC(C)(C)C1CCC(=O)CC1,TOX24394,1
119,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,TOX3568,0
123,CCCCCCCCCCCCCC(=O)OC,TOX7019,0
125,CCCCCCC(C)O,TOX7014,0
126,CCC[Si](OC)(OC)OC,TOX22494,0
127,CC1=C(CC=O)C(C)(C)CCC1,TOX27088,0
129,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,TOX3706,1
130,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,TOX4280,1
131,Cc1ccc(N)c(N)c1,TOX4930,1
132,CCCCCNCCCCC,TOX4931,0
133,COCC(C)O,TOX4284,1
134,c1ccc2c(c1)Oc1ccccc1S2,TOX4937,1
135,CC1CN1,TOX4286,0
136,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,TOX4287,0
138,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,TOX25447,1
139,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,TOX175,1
140,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,TOX25916,1
141,ClCOCCl,TOX173,1
142,CC(O)CNCC(C)O,TOX179,0
144,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,TOX17262,1
147,ONc1ccccc1,TOX5889,1
149,[Cu]I,TOX21803,1
150,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],TOX21530,0
152,O=C(O)CCCCCCCCC(=O)O,TOX6867,0
153,CCCCCCCC(=O)OC,TOX6864,0
154,CC(O)COCC(C)O,TOX6863,0
157,Cc1ncc[nH]1,TOX2107,1
158,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,TOX27268,1
159,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,TOX27264,1
163,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,TOX27261,1
166,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],TOX26647,1
169,CO[Si](C)(C)OC,TOX22379,0
170,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,TOX20283,1
171,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,TOX20287,1
173,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,TOX20284,1
176,Cc1ccc(C(C)(C)C)cc1,TOX4704,0
177,BrCBr,TOX1557,0
178,Nc1cc(Cl)cc(Cl)c1,TOX10307,0
180,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,TOX1559,1
181,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],TOX27484,0
182,CCCCCCCCCOS(=O)(=O)[O-],TOX27487,1
183,O=Cc1ccc(C(=O)O)cc1,TOX7249,1
184,CCC(Cl)CCl,TOX7244,0
186,O=C1CCCN1,TOX7246,1
188,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,TOX7240,1
189,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,TOX24613,0
190,C=CC(=O)OCCOC(=O)C=C,TOX24615,1
193,COc1cccc(Br)c1,TOX24618,0
194,CCCCCCCCNC,TOX24619,0
195,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,TOX21884,1
196,CC1=C(C(=O)Nc2ccccc2)SCCO1,TOX3951,1
197,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,TOX3950,1
198,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,TOX21880,0
199,Cc1ccc2c(Br)cc(Br)c(O)c2n1,TOX26235,1
200,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,TOX768,1
201,CC(O)COc1ccccc1,TOX7312,0
202,O=P1(NCCCl)OCCCN1CCCl,TOX760,0
205,CC(C)OC(=O)Nc1cccc(Cl)c1,TOX764,1
206,CC(C)OC(=O)Nc1ccccc1,TOX766,1
207,CC=Cc1ccc2c(c1)OCO2,TOX767,0
209,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,TOX21085,0
210,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,TOX26236,1
211,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,TOX21080,0
212,CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,TOX27871,1
213,O=C(c1ccccc1)c1cc(Cl)ccc1O,TOX27870,1
214,OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,TOX27873,0
215,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,TOX27872,1
216,CC(C)C[P+](C)(CC(C)C)CC(C)C,TOX27875,0
217,C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,TOX27874,0
218,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,TOX27876,1
219,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,TOX6265,1
220,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,TOX6266,1
221,Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,TOX6267,1
222,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,TOX6261,1
223,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,TOX6262,1
225,O=C(O)c1ccc(O)cc1O,TOX5074,0
226,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,TOX5076,1
227,CC1=CC(C)(C)Nc2ccccc21,TOX5070,1
228,Cc1cc(=O)oc2cc(O)cc(O)c12,TOX5078,1
229,CC(C)CNCC(C)C,TOX5079,0
232,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,TOX2399,1
233,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,TOX2394,1
234,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,TOX2396,1
235,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,TOX2391,1
236,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,TOX2393,1
237,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,TOX3049,1
239,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,TOX3042,1
240,NC(=O)OCC(COC(N)=O)c1ccccc1,TOX3041,0
242,COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,TOX12412,0
243,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,TOX12417,1
244,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,TOX12416,1
245,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,TOX25254,1
248,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,TOX22579,1
249,NC(=S)NNC(N)=S,TOX545,0
252,O=C(Oc1ccccc1)Oc1ccccc1,TOX540,0
253,C[Hg]Cl,TOX813,1
254,S=c1[nH]cnc2[nH]cnc12,TOX810,1
255,[Hg+2],TOX811,1
257,CN(C)CCN(Cc1cccs1)c1ccccn1,TOX818,0
260,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,TOX26503,0
262,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,TOX26501,1
263,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,TOX26506,0
266,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,TOX29089,1
267,Clc1ccc2cc3ccccc3cc2c1,TOX29086,1
268,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,TOX29087,1
269,F/C(COc1ccc2c(c1)[nH]c1ccccc12)=C1/CN2CCC1CC2,TOX26508,1
271,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,TOX29082,1
273,Brc1c2ccccc2cc2ccccc12,TOX29080,1
276,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,TOX22613,0
279,CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,TOX29331,0
280,COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,TOX14818,1
281,CNC(=O)/C=C(\C)OP(=O)(OC)OC,TOX14816,0
282,Cc1occc1SSc1ccoc1C,TOX27673,1
283,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,TOX27672,1
284,CC=CC(=O)CC,TOX27670,0
285,CC1OCCC1=O,TOX27677,0
286,CC1CCCC(=O)C1=O,TOX27675,0
288,CCCCCc1ccco1,TOX27679,1
289,c1cnc2c(n1)CCCC2,TOX27678,0
290,CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,TOX21703,0
291,Cc1cc(S(=O)(=O)[O-])ccc1/N=N/c1c(O)ccc2ccccc12,TOX21709,1
292,Cc1ccc(N=Nc2c(O)ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c2O)c(C)c1,TOX21708,1
293,Nc1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,TOX117,1
294,CCNc1nc(Cl)nc(NC(C)(C)C)n1,TOX7608,1
295,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,TOX2800,0
296,Oc1c(Cl)cc(Cl)c2cccnc12,TOX2801,1
298,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,TOX2808,1
299,CCCCCCCCCCCCCCn1cc[n+](C)c1,TOX29085,1
300,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],TOX5948,1
301,O=P(Cl)(Cl)Cl,TOX9710,0
302,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,TOX671,1
304,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,TOX6076,1
305,CN(C)CCOC(c1ccccc1)c1ccccc1,TOX537,1
306,COC(=O)c1ccc(C)cc1,TOX5668,0
309,CC(=O)C=Cc1ccccc1,TOX5662,1
310,Cc1c[nH]c(=S)[nH]c1=O,TOX5665,0
311,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,TOX2944,0
313,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,TOX2946,1
314,CC12CCC(CC1)C(C)(C)O2,TOX616,1
315,C=COCC1CCC(CO)CC1,TOX9575,0
316,CC(=O)/C=C/C1=C(C)CCCC1(C)C,TOX1769,0
317,CC(=O)NC1CCSC1=O,TOX25888,0
318,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,TOX25889,1
319,CC1COc2ccccc2N1C(=O)C(Cl)Cl,TOX9572,1
323,CC(O)CN,TOX1764,0
326,C=CCc1ccc(O)c(OC)c1,TOX617,0
327,COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],TOX20540,0
328,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O,TOX20547,1
330,C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,TOX28901,0
331,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,TOX28903,1
333,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,TOX28905,1
334,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,TOX24289,0
335,O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,TOX24288,1
337,CO[C@H]1CC(O[C@H]2C[C@H]([C@H]3O[C@](C)(O)[C@H](C)C[C@@H]3C)O[C@H]2[C@]2(C)CC[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H]5O[C@](O)(CC(=O)[O-])[C@@H](C)[C@H](OC)[C@H]5OC)O4)O3)O2)O[C@@H](C)[C@@H]1OC,TOX28909,1
338,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,TOX24936,1
339,C=C(C)C(=O)OCCNC(C)(C)C,TOX24931,0
340,NS(=O)(=O)c1ccccc1OC(F)(F)F,TOX24930,0
341,O=C=NCC1CCCC(CN=C=O)C1,TOX24933,0
344,O=C(O)c1ccccc1O.Oc1cccc2cccnc12,TOX25081,1
345,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,TOX25086,1
346,O=C(O)[C@@H](S)[C@H](S)C(=O)O,TOX25084,1
349,NS(=O)(=O)c1ccc(C(=O)O)cc1,TOX25089,0
350,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,TOX24728,1
353,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,TOX3545,1
354,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,TOX3542,1
355,CN(C)C(=O)Oc1ccc[n+](C)c1,TOX3540,1
356,Cc1ncc(CO)c(CO)c1O,TOX10780,0
358,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,TOX3549,1
361,CC(C)(CO)CO,TOX7036,1
362,O=S1(=O)CCCC1,TOX7037,0
363,O=[N+]([O-])C(CO)(CO)CO,TOX7034,1
365,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],TOX3722,0
366,NC(CO)(CO)CO,TOX3723,0
367,O=C(Cl)c1cc(C(=O)Cl)cc(C(=O)Cl)c1,TOX24429,1
369,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,TOX3727,0
370,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,TOX3724,0
371,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,TOX3725,0
372,C[N+](C)=CCl,TOX24423,0
373,CC(=O)c1cccnc1,TOX24421,0
375,O=CN1CCOCC1,TOX24427,0
376,COC(=O)CCC(=O)O,TOX24425,0
377,NCc1cccnc1,TOX24424,0
378,CCCCCCCCn1sc(Cl)c(Cl)c1=O,TOX12315,1
379,Cc1cc(O)cc(C)c1Cl,TOX12316,1
382,c1ccc2cnncc2c1,TOX29367,0
383,COC(=O)c1ccc(CBr)cc1,TOX29366,1
385,O=P(O)(OCc1ccccc1)OCc1ccccc1,TOX13402,0
386,S=C=NCc1ccccc1,TOX155,1
387,Oc1ccc(Cl)cc1Cc1ccccc1,TOX154,1
388,ClCc1ccccc1,TOX153,0
389,OCc1ccccc1,TOX152,0
390,CC(=O)OCc1ccccc1,TOX151,0
391,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1,TOX17248,0
393,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,TOX419,1
394,C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1,TOX5866,1
395,CCOc1ccc(N)cc1,TOX5864,1
396,CC(C)=CCC[C@H](C)CCO,TOX21550,0
398,Nc1ccccc1C(=O)OCCc1ccccc1,TOX5861,1
399,CC(C)CC(O)CC(C)C,TOX6802,0
400,C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,TOX24916,0
404,C=C(C)OC(C)=O,TOX11492,0
405,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,TOX26263,0
408,O=C1CC[C@@H](C(=O)O)N1,TOX26260,0
413,CC(O)C#CC(C)O,TOX24910,1
414,COc1ccc(N)cc1N,TOX27242,1
415,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,TOX27243,0
416,O=C1NC(=O)C(=O)C(=O)N1,TOX27241,0
417,CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O,TOX27246,1
418,OCCCC1CCCCC1,TOX27244,0
419,Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1ccncc1)C(=O)N3CC2,TOX27248,1
420,CCc1cc(C2=C(C(=O)[O-])N(c3ccccc3C(F)(F)F)S(=O)(=O)c3ccccc32)cc2c1OCO2,TOX27249,1
421,O=S(=O)([O-])c1ccc2c(/N=N\c3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1,TOX1232,0
422,O=C=Nc1ccc(Cl)cc1,TOX20732,1
423,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,TOX20731,0
424,CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CO2,TOX20736,1
425,C1CCC2(CCCCO2)OC1,TOX20735,0
427,C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(=O)O,TOX20739,0
429,CCCCOCCO,TOX4097,0
430,[O-][n+]1ccccc1[S-],TOX22390,1
431,CCCN(CCC)C(=O)SCC,TOX4091,0
432,O=S(=O)([O-])c1cccc2ccccc12,TOX22394,0
433,CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)[O-])CCC[C@]3(C)[C@H]2CC1,TOX22399,1
434,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,TOX894,1
435,N#CCCC#N,TOX6059,0
436,Cc1ncc([N+](=O)[O-])n1CCO,TOX892,0
437,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1,TOX28584,1
438,C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,TOX25103,1
439,CC(Cl)(Cl)C(=O)O,TOX1575,0
441,O=C(CCl)CCl,TOX1577,1
442,CC(=O)C(Cl)Cl,TOX1576,0
443,CC(C)(c1ccccc1)c1ccc(O)cc1,TOX2536,1
444,Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1,TOX28597,1
446,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,TOX28595,1
447,C=Cc1ccc(S(=O)(=O)[O-])cc1,TOX24635,1
448,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,TOX28593,1
449,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,TOX24633,0
450,CC(=O)OC(C)C(=O)OCC[N+](C)(C)C.CC(=O)OC(C)C(=O)OCC[N+](C)(C)C.O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12,TOX28591,1
452,CCO[Si](C)(CCCOCC1CO1)OCC,TOX24638,0
