,smiles,toxic
2513,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,1
3257,C1C[C@H]2[C@@H]3CC[C@H](C3)[C@H]2C1,0
4999,CCNc1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccc(N(CC)CC)cc2)c2ccccc12,1
4193,FC(Cl)(Cl)Cl,1
1036,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,1
21,CCCCNC(=O)NCCCC,0
3874,Nc1ccc2c(c1)Cc1ccccc1-2,1
4683,CCCCCCCCCCCCCC=O,1
3741,Cl[Zn]Cl,0
5122,CCCCSP(=O)(SCCCC)SCCCC,0
621,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O,0
2617,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1
4164,CC(C)CC(C)CC(O)CC(C)C,0
2822,CCCC/C=C/C=C\C=O,1
2389,CN/C(=N\c1ccc(C2=NNC(=O)CC2C)cc1)NC#N,0
48,C(=C/c1ccccc1)\c1ccccc1,1
1188,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,1
1492,C=C(C)c1ccccc1,0
1321,Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
3245,Cc1cccc(N)n1,0
4199,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1
4885,NC1=NC(=O)C(c2ccccc2)O1,0
1041,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1
3914,CC(C)NNC(=O)c1ccncc1,1
5094,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,0
2904,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,1
1378,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1
4369,CC(=O)C=C(C)C,0
1164,O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,1
2428,Clc1nc(C(Cl)(Cl)Cl)c(Cl)c(Cl)c1Cl,1
3247,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,1
1555,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,1
2676,C=C(C)C1CC=C(C)C(O)C1,0
5184,CCCCC/C=C/C=C/C=O,1
4332,OCc1cccc(Oc2ccccc2)c1,1
2038,CCCOC(=O)C(C)O,0
5119,C1=CCCC=CCCC=CCC1,0
3142,Cn1c([N+](=O)[O-])cnc1COC(N)=O,0
4922,O=C(O)c1cccnc1C(=O)O,0
2955,C=CC(C)=O,0
4059,CCOc1ccc(NC(=S)Nc2ccc(OCC)cc2)cc1,1
1728,CC(C)=CCC/C(C)=C\CO,0
1500,COc1ccc(Nc2ccc(OC)cc2)cc1,1
1031,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1
1746,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0
509,CCOC(=O)OCC/C(SC(=O)OCC)=C(\C)N(C=O)Cc1cnc(C)nc1N,0
3598,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0
4070,CCOP(=O)(N=C1SCCS1)OCC,0
4979,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1
3891,O=S(=O)(O)c1ccc(O)cc1,1
2169,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,1
1633,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,1
2968,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,1
58,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0
2366,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1
486,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,1
1284,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OCC[C@H]21,1
1517,CC(C)NCC(O)c1ccc(O)c(O)c1,1
3608,CCNc1nc(N)nc(Cl)n1,0
4342,[Ca+2].[Cl-].[Cl-],0
3493,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,1
4973,FC(Cl)(Cl)C(F)(Cl)Cl,0
2556,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,1
3625,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,1
551,CCC(C)=NO,0
3463,FC(F)(F)C(Cl)(Cl)Cl,0
599,CCCCCC1CCC(=O)O1,0
4562,NC(=O)CC[C@@H](N)C(=O)O,0
4298,O=C(O)c1cccc(Oc2ccccc2)c1,1
583,CCCCC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1
36,Cc1ccccc1CCO,0
5,C=C(C)C(=O)OCCOC(=O)C(=C)C,0
2878,Cc1ccc(/C=N/n2c(-c3ccccc3)csc2=S)cc1,1
2753,CCCCCCCCCCC=CC#N,0
4096,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1
3042,COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1,0
1560,COC(=O)c1nc(Cl)c(Cl)nc1N,1
550,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
3306,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,1
395,CC1=CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C,0
293,[O-][n+]1ccccc1[S-],1
1058,Nc1ccccc1Nc1ccccc1,1
2891,COCCOCCO,0
3080,CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1
473,N#CSCSC#N,1
866,C=Cc1ccc(C)cc1,0
5056,CCCCOCCOCCO,0
2022,CCCCC/C=C\C=C\C(=O)OCC,1
813,Cc1ccccc1CCl,0
2295,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,1
3926,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,1
2536,CN(C)C=O,0
623,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,0
374,CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,1
450,Nc1ccc2cc(S(=O)(=O)O)ccc2c1,0
3716,CC(=O)OC/C=C(\C)CCC=C(C)C,0
1630,CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,1
687,C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,1
4135,O=C(O)CCC(=O)O,0
5089,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,1
4553,CC(=O)C=Cc1ccc2c(c1)OCO2,1
1875,C=C(C)C(=O)NCCCN(C)C,0
440,N=C(N)c1ccccc1,0
3557,O=NN1CCCCCC1,0
2265,COc1ccc(C(=O)c2ccccc2)c(O)c1,1
2303,CCC(C)C(=O)OCCc1ccccc1,0
2750,Cc1ccc(C(C)NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)cc1,0
2412,C=CC(=O)OCCC(=O)O,1
2403,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
1208,c1ccc(CSCc2ccccc2)cc1,1
4977,C1COCCN1,0
1424,COC(=O)Cc1ccccc1,0
1765,Oc1ccccc1F,0
4728,O=c1[nH]c(=O)c2ccccc2o1,0
4071,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,1
4939,CC(=O)Oc1ccc(C)cc1,0
4863,Nc1cc(=O)nc(N)[nH]1,0
2199,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F,1
3604,CC(Cl)C(Cl)Cl,0
1507,CCC(N)Cc1c[nH]c2ccccc12,1
1566,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1
1838,CC1CC(=O)O1,0
1360,c1ccc2sc(SNC3CCCCC3)nc2c1,1
4354,CCOC(=O)C(C)(C)C,0
1939,Clc1cccc(C(Cl)(Cl)Cl)n1,1
3715,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,1
377,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,1
4721,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1
2033,Cc1cccc2c1cc1ccc3cccc4ccc2c1c34,1
3539,CCCC(=O)OC,0
2624,C=CC(=O)OCCCCCC,0
4257,CCO[Si](CC(C)C)(OCC)OCC,1
1105,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,0
3494,CC(C)CCCCOC(=O)c1ccccc1C(=O)OCCCCC(C)C,0
239,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1
410,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1
2588,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,0
892,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,1
4757,CCC(C)Br,0
1903,C1=CCC=C1,0
299,Cc1ncc([N+](=O)[O-])n1CCO,0
3331,S=C(NC1CCCCC1)NC1CCCCC1,1
155,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,1
2786,O=C1CCCN1CCO,0
4400,Nc1ccc(C(=O)O)cc1,0
1344,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,1
1388,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1
1228,O=C(c1ccc(O)cc1)c1ccc(O)c(O)c1O,1
4137,N=C(N)NS(=O)(=O)c1ccc(N)cc1,0
875,Nc1ccc(Cl)cc1[N+](=O)[O-],1
1086,CSCCCN=C=S,1
1884,CC(C)CC(C)(N)C#N,0
4327,c1ccc(Nc2ccccc2)cc1,1
1531,Cl[In](Cl)Cl,1
1781,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,1
1061,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,1
5234,CCCCCCCCCCCCC,0
4482,NC(=O)N1c2ccccc2C=Cc2ccccc21,1
4156,c1csc(SSc2cccs2)c1,1
123,CCCCCCCCNC,0
4523,C=CC(=O)NC(C)(C)CS(=O)(=O)O,1
997,[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],1
4213,O=C([O-])c1cccc([N+](=O)[O-])c1,0
5050,CCCCOC(=O)[C@H](C)O,0
571,CCCN1C=CN(C)C1,0
685,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,1
2218,CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,1
4477,c1c[nH]cn1,0
845,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,1
3145,Oc1ccccc1[Hg]Cl,1
950,C[N+](C)(C)CCO,0
99,CCCCCCCC(=O)OC,0
2897,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0
4573,CCC(C)(O)CCCC(C)C,0
3731,O=C(Nc1ccccc1)Nc1ccccc1,1
4688,C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,1
4397,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
790,O=C(Nc1ccccc1)c1ccccc1O,1
1891,COC(=O)Cl,0
1211,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1,0
2938,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,0
1015,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
1254,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,1
2377,NC(=O)NNc1ccccc1,0
1331,C[C@H](N)C(=O)c1ccccc1,0
4552,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
